2,0,15,
[None, None]-['R', None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
